ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
612,TALPIDAE,Scapanus,Scapanus orarius,colonizer,0,1,0,0,0,0,1,0,0
613,TALPIDAE,Scapanus,Scapanus townsendii,colonizer,0,1,0,0,0,0,1,0,0
614,TALPIDAE,Scaptochirus,Scaptochirus moschatus,colonizer,0,1,0,0,0,0,0,1,0
615,SCIURIDAE,Sciurotamias,Sciurotamias davidianus,sedentary,0,0,1,0,0,0,0,1,0
616,SCIURIDAE,Sciurus,Sciurus aberti,sedentary,0,0,1,0,1,0,1,0,0
617,SCIURIDAE,Sciurus,Sciurus alleni,sedentary,0,0,1,0,1,0,1,0,0
618,SCIURIDAE,Sciurus,Sciurus anomalus,sedentary,0,0,1,0,1,0,0,1,0
619,SCIURIDAE,Sciurus,Sciurus arizonensis,sedentary,0,0,1,0,1,0,1,0,0
620,SCIURIDAE,Sciurus,Sciurus carolinensis,sedentary,0,0,1,0,1,0,1,0,0
621,SCIURIDAE,Sciurus,Sciurus colliaei,sedentary,0,0,1,0,1,0,1,0,0
622,SCIURIDAE,Sciurus,Sciurus deppei,sedentary,0,0,1,0,1,0,1,0,0
623,SCIURIDAE,Sciurus,Sciurus griseus,sedentary,0,0,1,0,1,0,1,0,0
624,SCIURIDAE,Sciurus,Sciurus nayaritensis,sedentary,0,0,1,0,1,0,1,0,0
