ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
412,CRICETIDAE,Neotoma,Neotoma fuscipes,sedentary,0,0,1,0,0,1,1,0,0
413,CRICETIDAE,Neotoma,Neotoma goldmani,sedentary,0,0,1,0,0,1,1,0,0
414,CRICETIDAE,Neotoma,Neotoma lepida,sedentary,0,0,1,0,0,1,1,0,0
415,CRICETIDAE,Neotoma,Neotoma leucodon,sedentary,0,0,1,0,0,1,1,0,0
416,CRICETIDAE,Neotoma,Neotoma macrotis,sedentary,0,0,1,0,0,1,1,0,0
417,CRICETIDAE,Neotoma,Neotoma magister,sedentary,0,0,1,0,0,1,1,0,0
418,CRICETIDAE,Neotoma,Neotoma mexicana,sedentary,0,0,1,0,0,1,1,0,0
419,CRICETIDAE,Neotoma,Neotoma micropus,sedentary,0,0,1,0,0,1,1,0,0
420,CRICETIDAE,Neotoma,Neotoma palatina,sedentary,0,0,1,0,0,1,1,0,0
421,CRICETIDAE,Neotoma,Neotoma phenax,sedentary,0,0,1,0,0,1,1,0,0
422,CRICETIDAE,Neotoma,Neotoma stephensi,sedentary,0,0,1,0,0,1,1,0,0
423,CRICETIDAE,Neotomodon,Neotomodon alstoni,sedentary,0,0,1,0,0,1,1,0,0
424,MUSTELIDAE,Neovison,Neovison vison,sedentary,0,0,1,0,0,1,1,0,0
425,MURIDAE,Nesokia,Nesokia indica,sedentary,0,0,1,0,0,0,0,1,0
426,TALPIDAE,Neurotrichus,Neurotrichus gibbsii,colonizer,0,1,0,0,0,0,1,0,0
427,MURIDAE,Niviventer,Niviventer confucianus,sedentary,0,0,1,0,0,0,0,1,0
428,MURIDAE,Niviventer,Niviventer eha,sedentary,0,0,1,0,0,0,0,1,0
429,MURIDAE,Niviventer,Niviventer fulvescens,sedentary,0,0,1,0,0,0,0,1,0
430,SORICIDAE,Notiosorex,Notiosorex cockrumi,colonizer,0,1,0,0,0,0,1,0,0
431,SORICIDAE,Notiosorex,Notiosorex crawfordi,colonizer,0,1,0,0,0,0,1,0,0
432,SORICIDAE,Notiosorex,Notiosorex evotis,colonizer,0,1,0,0,0,0,1,0,0
433,SORICIDAE,Notiosorex,Notiosorex villai,colonizer,0,1,0,0,0,0,1,0,0
434,CANIDAE,Nyctereutes,Nyctereutes procyonoides,sedentary,0,0,1,0,0,1,0,1,0
435,CRICETIDAE,Nyctomys,Nyctomys sumichrasti,sedentary,0,0,1,0,0,1,1,0,0
436,OCHOTONIDAE,Ochotona,Ochotona alpina,sedentary,0,0,1,0,1,0,0,1,0
437,OCHOTONIDAE,Ochotona,Ochotona argentata,sedentary,0,0,1,0,1,0,0,1,0
438,OCHOTONIDAE,Ochotona,Ochotona cansus,sedentary,0,0,1,0,1,0,0,1,0
439,OCHOTONIDAE,Ochotona,Ochotona collaris,sedentary,0,0,1,0,1,0,1,0,0
